"","cns_x","cns_y","cns_z","mcns_x","mcns_y","mcns_z"
"42",251119.519163084,219890.683793367,140485.840895632,532491.969168391,202171.238621983,135622.736337294
"43",279280.738519078,51803.4057622778,235661.961937841,494157.29888248,55845.5165442469,232727.746956962
"44",585219.420950929,141878.496833581,283603.74300954,189618.395246023,147772.70414692,293924.341296637
"45",157845.110162763,138117.602898644,286167.988874269,626164.393042198,121283.1426325,273943.375875322
"46",168102.093621679,411209.787492284,293433.352157668,610671.534182048,400531.184651145,279567.781481475
"47",289476.397885518,211369.559767738,114363.515937426,472647.079815396,193245.453541995,99338.1946504191
"48",370677.51693527,210472.073715083,129321.616815012,404997.891539496,206770.407145708,130666.759704381
"49",306571.370317045,178248.050681656,117355.136112943,457743.14468392,168349.533674346,105773.949910295
"50",352727.795882167,339410.903279871,143852.34338181,429012.995394894,337789.956986035,161245.706516432
"51",421535.059919062,338086.042916429,157100.947016243,356893.114178765,338984.490675738,139130.805693235
"52",392046.232474678,362916.490373222,199838.378095059,389856.796350969,363126.153490703,199598.001348253
"53",417261.31681118,265987.996686467,156246.198394667,363983.081643923,273233.572610626,157440.053074412
"54",488205.452402015,228891.906510055,131031.114058165,293267.16119764,246655.791246645,136659.230277674
"55",535644.000899502,261756.991009664,166930.556164371,248142.580336024,269923.083555249,179236.248163986
"56",464272.490997878,310392.187577357,167357.930475159,320197.318097376,317811.662611222,153927.09572465
"57",212976.396254437,232268.16356528,222061.842256044,562011.076387123,228562.293352065,212833.559184641
"58",205283.65866025,361933.529458411,312665.196143135,562955.117720495,356696.089795856,298398.597603631
"59",362557.405030295,126364.809351973,236165.194512054,409848.742619623,119390.423171862,236772.895004789
"60",410423.327838569,122304.753399487,237874.691755206,362499.376185288,128726.5211794,237612.953320073
"61",387345.115056008,146109.502510387,251123.295389639,387846.530064888,146203.692074392,250959.966766854
"62",405324.525384826,103572.005434508,133483.356626137,365016.995230238,105819.166521941,129753.986533546
"63",365481.751249282,105716.335698622,127501.027551588,404560.363237909,103375.461878282,131781.935141186
"64",474349.855427334,190599.332817449,99596.6301981476,286865.840692584,207062.278708864,114869.820117294
"65",424774.435375907,237054.920400122,102588.250373665,353638.219747186,252836.539023683,110808.911915307
"66",417226.59562908,203831.261618034,123956.965913073,365246.348350958,209781.878434327,122037.825474885
"67",463574.467910906,168778.100081187,106861.993481546,297829.240236368,187872.516135592,118669.90894296
"68",487042.510399843,174379.689195695,142684.458439837,290257.761510389,199860.834860751,158370.458761234
"69",470064.478265542,151746.006462726,124165.799997933,299445.468828253,152205.267135476,133960.27459004
